review,star,ensemble_prob,pred_label,is_misleading,contains_misclassified_word,trust_score,matched_misclassified_words
"I purchased this for my husband, he's had this quite a while now and love it SanDisk is a reputable product.",5,0.8554388822420733,1,False,True,0.6415791616815549,"product,purchased,sandisk"
"this is probably the Nth memory card I've bought from sandisk, and so far I'm still very happy. r/w speeds are decent and none have given me any troubles.",5,0.9523222345184477,1,False,True,0.7142416758888357,"bought,card,sandisk,still"
Good for the price and so far it is working just fine on my phone.  Finally I can now save pics taken from the camera and things I download.,5,0.9169478441347871,1,False,True,0.6877108831010903,"phone,working"
It does the job without any issue. I use it on my Microsoft Surface Pro Tablet. Fast and reliable. I would recommend it.,5,0.9562400644980535,1,False,False,0.9562400644980535,
"As others have found, these cards do not last. Mine died in less than 2 months. Lost several photos that I had not backed up yet. The warranty replacement died within 3 months.Go with another brand. I've been using a Kingston and so far, 9 months later, still working.",1,0.6700335141496917,1,True,True,0.15075754068368064,"another,backed,brand,cards,died,last,less,lost,mine,months,others,photos,replacement,still,working"
"I use this in my Samsung Galaxy SIII and it has been great. There have been a few instances when the card was not recognized, but simply rebooting the phone fixed the problem. I am unsure whether this is a Samsung issue (probably), or a SanDisk issue, but it has only happened 2 to 3 times over the course of a year and a half. Overall, the write speeds are fast enough that you can record 1080p video directly to the card, which is exactly what I wanted it for. It does come with a full-size SD card enclosure, allowing you to use this in devices that require that type of memory card. Recommended!",4,0.8091290135280593,1,False,True,0.6068467601460446,"card,phone,sandisk"
The SanDisk Ultra 32 Gb microSDHC memory card is a good value for the money.  It doubles the memory of my new Samsung Galaxy S3 and there is no perceptible delay between access to the card and built-in memory.,5,0.9627799469839218,1,False,True,0.7220849602379413,"card,sandisk"
"Good price and fast enough to load MP3 files from the computer quickly.  I use these in Sansa Clip MP3 players, perfect match.",4,0.9794663182238121,1,False,False,0.9794663182238121,
"I purchased this MicroSD card to record extended 1080p videos and it has worked flawlessly. Camera did not immediately recognize the card, but going into the settings and selecting format solved the problem.",5,0.7779726450104605,1,False,True,0.5834794837578454,"card,format,purchased"
"I was very excited to buy this card (64 gb) for my Samsung Galaxy Note 2 - The product arrived promptly and I was able to format it to EX Fat and use it right away in my smart phone. However, exactly 10 days later when I removed the card (after turning off the phone) and inserted it in my Desktop, I got an error saying that the card was corrupted and unreadable and that I needed to format it.Since I had already got a lot of data on it, including a lot of videos and images of our new-born twins, formatting was not a viable option.I tried to get the card working on my PC Desktop, Mac Air laptop and the Samsung Galaxy Note, but to no avail.  Finally I decided to format it. There too, I kept getting errors and that the computer was unable to format the card.  Finally I tried ""Full Format"" via my pc - got an error again and then right away ""Quick Format"" and that worked - so the card is back and working in my Note again, but now I wont trust it anymore - not after having lost so many irreplaceable images and videos.I am a professional photographer, and use memory cards all the time - this has been the worst of the lot !!",2,0.24755001763180176,0,False,True,0.18566251322385133,"back,buy,card,cards,format,got,lost,phone,product,working"
I would recommend this memory card to anyone. It works well with my tablet. I have no problems with it.,4,0.9738467303729288,1,False,True,0.7303850477796966,card
This card is so small and yet holds this much storage. No problems with speed or reliability. Can definitely recommend.,5,0.9776000682828991,1,False,True,0.7332000512121744,card
holds a lot of memory. slides right into my car cam with no problem and easy to get out as well,5,0.9887603609949356,1,False,False,0.9887603609949356,
"As always, this memory card just works.  I've used SanDisk products for over a dozen years and they have always worked when needed. More often, I've outgrown their capacities then worn them out.I'm happy so far.",5,0.9364512941900613,1,False,True,0.702338470642546,"card,sandisk"
The sd card works perfectly. I use a samsung galaxy s3 lte and the sd was recognized without problems. I did not need to format sd. Just plug and play.Ups sent me the shippment in 3 days. I recommend the product and the provider.,5,0.8807817562390181,1,False,True,0.6605863171792636,"card,format,product"
"Not bad, I doesnt feel any quicker than a normal 32GB card.  And you only get 27GB of storage. 20",3,0.9390712763409584,1,False,True,0.7043034572557189,"bad,card,doesnt"
